Concept,Label,@en,@de,@it,@fr,@hu,@ca,@ru,@es,@el-latn,Lat,Long
<http://vocab.getty.edu/tgn/1005645>,Spandau,,,,,,,,,,52.55,13.2
<http://vocab.getty.edu/tgn/1000462>,Uppsala,,,,,,,,,,60,17.75
<http://vocab.getty.edu/tgn/1003666>,Wirral,"""irra""@en",,,,,,,,,53.3333,-3.0833
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""reec""@en","""riechenlan""@de","""reci""@it","""rèc""@fr",,,"""реци""@ru","""reci""@es","""llá""@el-latn",39,22
<http://vocab.getty.edu/tgn/1000376>,Galaţi,,,,,,,,,,45.75,27.75
<http://vocab.getty.edu/tgn/1000095>,España,"""pai""@en","""panie""@de",,"""spagn""@fr",,,"""спани""@ru","""spañ""@es",,40,-4
<http://vocab.getty.edu/tgn/1003489>,Potenza,,,,,,,,,,40.583333,15.733333
<http://vocab.getty.edu/tgn/1000088>,Norge,"""orwa""@en","""orwege""@de","""orvegi""@it","""orvèg""@fr",,,"""орвеги""@ru","""orueg""@es",,62,10
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""wede""@en","""chwede""@de","""vezi""@it","""uèd""@fr",,,"""веци""@ru","""ueci""@es",,62,15
<http://vocab.getty.edu/tgn/1000466>,Västernorrland,,,,,,,,,,63,17.5
<http://vocab.getty.edu/tgn/1001052>,İstanbul,,,,,,,,,,41.166667,28.75
<http://vocab.getty.edu/tgn/1000394>,București,,,,,,,,,,44.5,26.0833
<http://vocab.getty.edu/tgn/1003428>,Alessandria,,,,,,,,,,44.816667,8.7
<http://vocab.getty.edu/tgn/1003396>,Odes'ka Oblast',,,,,,,,,,47,30
<http://vocab.getty.edu/tgn/1000336>,Alba,,,,,,,,,,46.1667,23.5833
<http://vocab.getty.edu/tgn/1000063>,België,"""elgiu""@en","""elgie""@de","""elgi""@it","""elgiqu""@fr",,,"""ельги""@ru","""élgic""@es",,50.8333,4
<http://vocab.getty.edu/tgn/1003182>,Koblenz,,,,,,,,,,50.1667,7.25
<http://vocab.getty.edu/tgn/1025375>,Absam,,,,,,,,,,47.3,11.5
<http://vocab.getty.edu/tgn/1003430>,Aosta,,,,,,,,,,45.766667,7.416667
<http://vocab.getty.edu/tgn/1003361>,Kharkivs'ka Oblast',,,,,,,,,,49.5,36.5
<http://vocab.getty.edu/tgn/1005279>,Orpington,"""rpingto""@en",,,,,,,,,51.3833,0.0833
<http://vocab.getty.edu/tgn/1025430>,Bad-Hall,,,,,,,,,,48.05,14.2167
<http://vocab.getty.edu/tgn/1003407>,Samarskaya Oblast’,,,,,,,"""amar""@ru-latn",,,53,50
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""ustri""@en","""sterreic""@de",,"""utrich""@fr",,,"""встри""@ru","""ustri""@es",,47.3333,13.3333
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""relan""@en","""rlan""@de",,"""rland""@fr",,,"""рланди""@ru","""rland""@es",,53,-8
<http://vocab.getty.edu/tgn/1000066>,Danmark,"""enmar""@en","""änemar""@de","""animarc""@it","""anemar""@fr",,,"""ани""@ru","""inamarc""@es",,56,10
