Concept,Label,@en,@de,@it,@fr,@hu,@ca,@ru,@es,@el-latn
<http://vocab.getty.edu/tgn/1046162>,Positano,,,,,,,,,
<http://vocab.getty.edu/tgn/1044085>,Castiglione della Pescaia,,,,,,,,,
<http://vocab.getty.edu/tgn/1039568>,Bad Herrenalb,,,,,,,,,
<http://vocab.getty.edu/tgn/1039800>,Kaisersesch,,,,,,,,,
<http://vocab.getty.edu/tgn/1038183>,Altenmarkt,,,,,,,,,
<http://vocab.getty.edu/tgn/1031656>,Épinay-sous-Sénart,,,,,,,,,
<http://vocab.getty.edu/tgn/1041242>,Sinzig,,,,,,,,,
<http://vocab.getty.edu/tgn/1046271>,Rho,,,,,,,,,
<http://vocab.getty.edu/tgn/1031555>,Seinäjoki,,,,,,,,,
<http://vocab.getty.edu/tgn/1045628>,Muggiò,,,,,,,,,
<http://vocab.getty.edu/tgn/1042033>,Itháki,"""Ithaca""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1031405>,Kuortane,,,,,,,,,
<http://vocab.getty.edu/tgn/1043764>,Camogli,,,,,,,,,
<http://vocab.getty.edu/tgn/1044500>,Domodossola,,,,,,,,,
<http://vocab.getty.edu/tgn/1041165>,Schwarzenbach am Wald,,,,,,,,,
<http://vocab.getty.edu/tgn/1042072>,Khíos,"""Chios""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1032295>,Brétigny-sur-Orge,"""Brétigny-sur-Orge""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1036356>,Apolda,,,,,,,,,
<http://vocab.getty.edu/tgn/1045174>,Madonna di Campiglio,,,,,,,,,
<http://vocab.getty.edu/tgn/1045169>,Macugnaga,,,,,,,,,
<http://vocab.getty.edu/tgn/1044346>,Comeglians,,,,,,,,,
<http://vocab.getty.edu/tgn/1046206>,Procida,,,,,,,,,
<http://vocab.getty.edu/tgn/1046135>,Port'Ercole,,,,,,,,,
<http://vocab.getty.edu/tgn/1031474>,Nokia,,,,,,,,,
<http://vocab.getty.edu/tgn/1036448>,Bernau bei Berlin,,,,,,,,,
<http://vocab.getty.edu/tgn/1038147>,Alken,,,,,,,,,
<http://vocab.getty.edu/tgn/1038166>,Altdorf,,,,,,,,,
<http://vocab.getty.edu/tgn/1043457>,Bellagio,,,,,,,,,
<http://vocab.getty.edu/tgn/1043110>,Adro,,,,,,,,,
<http://vocab.getty.edu/tgn/1039144>,Friedrichsthal,,,,,,,,,
<http://vocab.getty.edu/tgn/1032522>,Châtillon,,,,,,,,,
<http://vocab.getty.edu/tgn/1032687>,Clamart,,,,,,,,,
<http://vocab.getty.edu/tgn/1032999>,Eaubonne,,,,,,,,,
<http://vocab.getty.edu/tgn/1031809>,Antrain,,,,,,,,,
<http://vocab.getty.edu/tgn/1046205>,Procchio,,,,,,,,,
<http://vocab.getty.edu/tgn/1031312>,Imatra,,,,,,,,,
<http://vocab.getty.edu/tgn/1032050>,Beaucourt,,,,,,,,,
<http://vocab.getty.edu/tgn/1044187>,Cesate,,,,,,,,,
<http://vocab.getty.edu/tgn/1041956>,Akharnai,,,,,,,,,
<http://vocab.getty.edu/tgn/1038251>,Attendorn,,,,,,,,,
<http://vocab.getty.edu/tgn/1043765>,Campagna,,,,,,,,,
<http://vocab.getty.edu/tgn/1031490>,Paimio,,,,,,,,,
<http://vocab.getty.edu/tgn/1032405>,Cancale,,,,,,,,,
<http://vocab.getty.edu/tgn/1031548>,Säynätsalo,,,,,,,,,
<http://vocab.getty.edu/tgn/1040322>,Merzig,,,,,,,,,
<http://vocab.getty.edu/tgn/1038420>,Barmstedt,,,,,,,,,
<http://vocab.getty.edu/tgn/1045403>,Misinto,,,,,,,,,
<http://vocab.getty.edu/tgn/1031500>,Seinäjoki,,,,,,,,,
<http://vocab.getty.edu/tgn/1036449>,Bernburg,,,,,,,,,
<http://vocab.getty.edu/tgn/1046080>,Pompei,,,,,,,,,
<http://vocab.getty.edu/tgn/1032495>,Châteaubriant,,,,,,,,,
<http://vocab.getty.edu/tgn/1044429>,Crevola d'Ossola,,,,,,,,,
<http://vocab.getty.edu/tgn/1045665>,Nichelino,,,,,,,,,
<http://vocab.getty.edu/tgn/1032431>,Carros,,,,,,,,,
<http://vocab.getty.edu/tgn/1031799>,Annet-sur-Marne,,,,,,,,,
<http://vocab.getty.edu/tgn/1033432>,Herblay,,,,,,,,,
<http://vocab.getty.edu/tgn/1031485>,Oulu,,,,,,,,,
<http://vocab.getty.edu/tgn/1032951>,Domont,,,,,,,,,
<http://vocab.getty.edu/tgn/1042203>,Sérifos,,,,,,,,,"""Sérifos""@el-latn"
<http://vocab.getty.edu/tgn/1045746>,Omegna,,,,,,,,,
<http://vocab.getty.edu/tgn/1043789>,Campodolcino,,,,,,,,,
<http://vocab.getty.edu/tgn/1032664>,Chevilly-Larue,,,,,,,,,
<http://vocab.getty.edu/tgn/1044294>,Cles,,,,,,,,,
<http://vocab.getty.edu/tgn/1046093>,Ponte San Pietro,,,,,,,,,
<http://vocab.getty.edu/tgn/1042068>,Kavála,,,,,,,,,"""Kavála""@el-latn"
<http://vocab.getty.edu/tgn/1042794>,Enniscorthy,"""Enniscorthy""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1044618>,Fiuggi,,,,,,,,,
<http://vocab.getty.edu/tgn/1038365>,Bad Rappenau,,,,,,,,,
<http://vocab.getty.edu/tgn/1045256>,Marina di Campo,,,,,,,,,
<http://vocab.getty.edu/tgn/1043863>,Capri,,,,,,,,,
<http://vocab.getty.edu/tgn/1044226>,Chiusa,,"""Klausen""@de","""Chiusa""@it",,,,,,
<http://vocab.getty.edu/tgn/1043559>,Boretto,,,,,,,,,
<http://vocab.getty.edu/tgn/1046085>,Pont-Saint-Martin,,,,,,,,,
<http://vocab.getty.edu/tgn/1043725>,Calatafimi,,,,,,,,,
<http://vocab.getty.edu/tgn/1031550>,Salo,,,,,,,,,
<http://vocab.getty.edu/tgn/1043749>,Caluso,,,,,,,,,
<http://vocab.getty.edu/tgn/1041929>,Gibraltar,,,,,,,,,
<http://vocab.getty.edu/tgn/1038187>,Altenvoërde,,,,,,,,,
<http://vocab.getty.edu/tgn/1042755>,Donegal,"""Donegal""@en",,,,,,,,
<http://vocab.getty.edu/tgn/1032215>,Bonneuil-sur-Marne,,,,,,,,,
<http://vocab.getty.edu/tgn/1031900>,Audierne,,,,,,,,,
<http://vocab.getty.edu/tgn/1043827>,Cannero Riviera,,,,,,,,,
<http://vocab.getty.edu/tgn/1042201>,Sámos,,,,,,,,,"""Sámos""@el-latn"
<http://vocab.getty.edu/tgn/1036393>,Bad Langensalza,,,,,,,,,
<http://vocab.getty.edu/tgn/1045262>,Marina di Massa,,,,,,,,,
<http://vocab.getty.edu/tgn/1031395>,Kotka,,,,,,,,,
<http://vocab.getty.edu/tgn/1038561>,Blieskastel,,,,,,,,,
<http://vocab.getty.edu/tgn/1042055>,Kallithéa,,,,,,,,,"""Kallithéa""@el-latn"
<http://vocab.getty.edu/tgn/1043264>,Arco,,,,,,,,,
<http://vocab.getty.edu/tgn/1046154>,Portofino,,,,,,,,,
<http://vocab.getty.edu/tgn/1039918>,Konz,,,,,,,,,
<http://vocab.getty.edu/tgn/1032186>,Bobigny,,,,,,,,,
