Concept,Label,@en,@de,@it,@fr,@hu,@ca,@ru,@es,@el-latn,Lat,Long
<http://vocab.getty.edu/tgn/1005645>,Spandau,,,,,,,,,,52.55,13.2
<http://vocab.getty.edu/tgn/1000462>,Uppsala,,,,,,,,,,60,17.75
<http://vocab.getty.edu/tgn/1003666>,Wirral,"""Wirral""@en",,,,,,,,,53.3333,-3.0833
<http://vocab.getty.edu/tgn/1000074>,Ellás,"""Greece""@en","""Griechenland""@de","""Grecia""@it","""Grèce""@fr",,,"""Греция""@ru","""Grecia""@es","""Ellás""@el-latn",39,22
<http://vocab.getty.edu/tgn/1000376>,Galaţi,,,,,,,,,,45.75,27.75
<http://vocab.getty.edu/tgn/1000095>,España,"""Spain""@en","""Spanien""@de",,"""Espagne""@fr",,,"""Испания""@ru","""España""@es",,40,-4
<http://vocab.getty.edu/tgn/1003489>,Potenza,,,,,,,,,,40.583333,15.733333
<http://vocab.getty.edu/tgn/1000088>,Norge,"""Norway""@en","""Norwegen""@de","""Norvegia""@it","""Norvège""@fr",,,"""Норвегия""@ru","""Noruega""@es",,62,10
<http://vocab.getty.edu/tgn/1000097>,Sverige,"""Sweden""@en","""Schweden""@de","""Svezia""@it","""Suède""@fr",,,"""Швеция""@ru","""Suecia""@es",,62,15
<http://vocab.getty.edu/tgn/1000466>,Västernorrland,,,,,,,,,,63,17.5
<http://vocab.getty.edu/tgn/1001052>,İstanbul,,,,,,,,,,41.166667,28.75
<http://vocab.getty.edu/tgn/1000394>,București,,,,,,,,,,44.5,26.0833
<http://vocab.getty.edu/tgn/1003428>,Alessandria,,,,,,,,,,44.816667,8.7
<http://vocab.getty.edu/tgn/1003396>,Odes'ka Oblast',,,,,,,,,,47,30
<http://vocab.getty.edu/tgn/1000336>,Alba,,,,,,,,,,46.1667,23.5833
<http://vocab.getty.edu/tgn/1000063>,België,"""Belgium""@en","""Belgien""@de","""Belgio""@it","""Belgique""@fr",,,"""Бельгия""@ru","""Bélgica""@es",,50.8333,4
<http://vocab.getty.edu/tgn/1003182>,Koblenz,,,,,,,,,,50.1667,7.25
<http://vocab.getty.edu/tgn/1025375>,Absam,,,,,,,,,,47.3,11.5
<http://vocab.getty.edu/tgn/1003430>,Aosta,,,,,,,,,,45.766667,7.416667
<http://vocab.getty.edu/tgn/1003361>,Kharkivs'ka Oblast',,,,,,,,,,49.5,36.5
<http://vocab.getty.edu/tgn/1005279>,Orpington,"""Orpington""@en",,,,,,,,,51.3833,0.0833
<http://vocab.getty.edu/tgn/1025430>,Bad-Hall,,,,,,,,,,48.05,14.2167
<http://vocab.getty.edu/tgn/1003407>,Samarskaya Oblast’,,,,,,,"""Samara""@ru-latn",,,53,50
<http://vocab.getty.edu/tgn/1000062>,Österreich,"""Austria""@en","""Österreich""@de",,"""Autriche""@fr",,,"""Австрия""@ru","""Austria""@es",,47.3333,13.3333
<http://vocab.getty.edu/tgn/1000078>,Ireland,"""Ireland""@en","""Irland""@de",,"""Irlande""@fr",,,"""Ирландия""@ru","""Irlanda""@es",,53,-8
