Concept,Label,Concept_Label,Lat,Long
<http://vocab.getty.edu/tgn/1000091>,România,"""Rumania""@es",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""Roumanie""@fr",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""Rumänien""@de",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""Roemenië""@nl",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""Romênia""@pt",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""Румыния""@ru",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""罗马尼亚""@zh",46,25
<http://vocab.getty.edu/tgn/1000091>,România,"""روماه اَ""@ar",46,25
<http://vocab.getty.edu/tgn/1003314>,Krasnoyarskiy Kray,Krasnoyarskiy Kray,58,93
<http://vocab.getty.edu/tgn/1005422>,Reinickendorf,Reinickendorf,52.5833,13.3333
<http://vocab.getty.edu/tgn/1000443>,Sibiu,Sibiu,45.9167,24.25
<http://vocab.getty.edu/tgn/1003611>,Kirklees,"""Kirklees""@en",53.5833,-1.8333
<http://vocab.getty.edu/tgn/1004847>,Kensington and Chelsea,"""Kensington and Chelsea""@en",51.45,-0.1833
<http://vocab.getty.edu/tgn/1003614>,Liverpool,"""Liverpool""@en",53.4167,-3
<http://vocab.getty.edu/tgn/1003460>,Grosseto,Grosseto,42.833333,11.25
<http://vocab.getty.edu/tgn/1003429>,Ancona,Ancona,43.55,13.166667
<http://vocab.getty.edu/tgn/1003432>,Ascoli Piceno,Ascoli Piceno,43.016667,13.566667
<http://vocab.getty.edu/tgn/1003459>,Gorizia,Gorizia,45.916667,13.5
<http://vocab.getty.edu/tgn/1000374>,Gävleborg,Gävleborg,61.5,16.25
<http://vocab.getty.edu/tgn/1025423>,Bürs,Bürs,47.15,9.8167
<http://vocab.getty.edu/tgn/1001647>,Castilla-La Mancha,Castilla-La Mancha,39.5,-3
<http://vocab.getty.edu/tgn/1000882>,Lisboa,Lisboa,39,-9.133333
<http://vocab.getty.edu/tgn/1003505>,Trieste,Trieste,45.333333,13.416667
<http://vocab.getty.edu/tgn/1003510>,Vercelli,Vercelli,45.616667,8.166667
<http://vocab.getty.edu/tgn/1000403>,Dalarna,Dalarna,61,14.5
<http://vocab.getty.edu/tgn/1003398>,Orenburgskaya Oblast',"""Orenburgskaya Oblast'""@ru-latn",52,56
<http://vocab.getty.edu/tgn/1004968>,Lichtenberg,Lichtenberg,52.5167,13.4833
<http://vocab.getty.edu/tgn/1003397>,Orlovskaya Oblast’,"""Orel""@en",53,36.416
<http://vocab.getty.edu/tgn/1003397>,Orlovskaya Oblast’,"""Oryol""@ru-latn",53,36.416
<http://vocab.getty.edu/tgn/1003473>,Massa-Carrara,Massa-Carrara,44.25,10.05
<http://vocab.getty.edu/tgn/1005382>,Purley,"""Purley""@en",51.3333,-0.1167
<http://vocab.getty.edu/tgn/1001622>,Agrigento,Agrigento,37.45,13.5
<http://vocab.getty.edu/tgn/1000216>,Polynésie française,"""French Polynesia""@en",-15,-140
<http://vocab.getty.edu/tgn/1004664>,Hillegersberg,Hillegersberg,51.9667,4.5167
<http://vocab.getty.edu/tgn/1003373>,Irkutskaya Oblast',Irkutskaya Oblast',56,106
